ticker,name,title,pub_date,link,description,score,target_stock,sentiment_score,sentiment_label,impact_intensity,time_horizon,news_type,key_drivers,trading_signal,reason
024740,한일단조,“지금이 진짜 기회” 널뛰는 증시에 개미들 단타 광풍…손바뀜 급증,2026-03-09 05:31,https://www.sedaily.com/article/20016681?ref=naver,"빅텍(289%), 한일단조(116%) 등 방산주의 거래가 활발했다. 지수 변동성 확대에 따라 레버리지와 인버스 상장지수펀드(ETF) 거래도 급증했다. 이달 들어 5일까지 ‘KODEX 레버리지’ ETF의 일평균 거래량은 3853만1798주로... ",0.85,한일단조,0.0,Neutral,Medium,Short-term,Fact,"변동성 확대, 단타, 방산주",Watch,"주식 시장 변동성 확대로 인한 단기적 거래량 증가 및 방산주 관심 증가 뉴스, 중립적 관점에서 관망 필요."
024740,한일단조,코스피 급등락에 ‘손바뀜’ 급증…정유·가스주 회전율↑,2026-03-08 10:06,http://www.edaily.co.kr/news/newspath.asp?newsid=01357926645381352,"호르무즈 해협이 막히면서 해상 운임 상승 가능성에 흥아해운(003280)(194%), STX그린로지스(465770)(178%) 등 해운주의 손바뀜도 활발했다. 방산주인 빅텍(065450)(289%), 한일단조(024740)(116%) 등도 높은 회전율을 기록했다.",0.85,한일단조,0.0,Neutral,Low,Short-term,Fact,방산,Watch,"코스피 급등락에 따른 회전율 증가로, 특정 긍정적/부정적 요인에 의한 주가 변동으로 보기 어렵다."
024740,한일단조,"美 이란 공습에 방산주 날았다…LIG넥스원, 상한가",2026-03-03 09:25,https://www.mt.co.kr/stock/2026/03/03/2026030309243073658,"빅텍(26.93%), 퍼스텍(26.04%), 한화시스템(25.18%), RF시스템즈(23.35%), 한일단조(20.69%), 스페코(20.42%), 삼양컴텍(19.83%), 휴니드(17.34%), 한화에어로스페이스(15.98%) 등이 동반 상승 중이다. 지난달 28일(현지 시각)... ",0.85,한일단조,0.3,Positive,Medium,Short-term,Fact,"방산,  지정학적 리스크",Watch,미국의 이란 공습으로 인한 지정학적 리스크 부각에 따른 단기적인 방산주 상승 가능성
012450,한화에어로스페이스,외국인 3조 매도에 삼전닉스 급락…코스피 변동성 금융위기때 수준,2026-03-09 23:59,https://www.mk.co.kr/article/11983102,"|중앙이코노미뉴스 이영선 기자|출처=네이버페이 증권 9일 오전 9시 40분 기준, 네이버페이 증권에 따르면한화에어로스페이스는 현재 1,432,000원에 거래되며 지난 종가 1,481,000원보다 3.31% 하락했다. 시가는 1,516,000원으로 시작했으며, 고가 1,550,000원과 저가 1,425,000원 사이에서 주가가...",0.9,한화에어로스페이스,-0.3,Negative,Medium,Short-term,Fact,"외국인 매도, 주가 하락",Watch,"외국인 매도세로 인한 주가 하락이 관찰되나, 특정 종목에 대한 직접적인 악재는 아니므로 관망."
012450,한화에어로스페이스,"한화, 방산 불기둥에 시총 4대그룹 입성 [코주부]",2026-03-09 23:59,https://www.sedaily.com/article/20016517?ref=naver,"글로벌 방산 시장에서 존재감을 키워온한화에어로스페이스는 3%대 하락을 기록했다. 항공엔진과 방산 장비를 생산하는 핵심 기업이지만 최근 단기 상승폭이 컸던 만큼 차익 실현 매물이 나온 것으로 해석된다. 반면 군 통신과 위성, 방산 전자 장비를 담당하는 한화시스템은 오히려 상승세를 보였다. 방산 기술...",0.85,한화에어로스페이스,0.0,Neutral,Medium,Short-term,Fact,"방산, 항공엔진, 차익실현",Watch,단기 상승에 따른 차익 실현 매물 출회로 중립적인 관점 유지 필요
012450,한화에어로스페이스,"[마켓인]나신평 “한화시스템 1.7조 PRS, 신용도 영향 제한적”",2026-03-09 23:59,http://www.edaily.co.kr/news/newspath.asp?newsid=04870806645381680,,0.85,한화에어로스페이스,0.0,Neutral,Low,Short-term,Fact,"신용등급, 재무구조",Ignore,"한화시스템의 PRS 발행이 한화에어로스페이스의 신용도에 미치는 영향은 제한적이라는 평가로, 단기적 영향은 미미할 것으로 판단됨."
272210,한화시스템,"한화시스템, 이란 전쟁 장기화 조짐·투자 재원 확보에 강세",2026-03-09 23:59,https://www.hankyung.com/article/2026030975036,"8일 한국거래소에 따르면 지난 6일 기준 한화에어로스페이스·한화시스템등 한화그룹 12개 상장사의 시총 합산액은 180조6740억원을 기록했다. 지난해 말 115조6744억원 대비 약 56% 급등한 것이다. 한화그룹 시총 규모는 삼성그룹(1433조2720억원), SK그룹(826조5930억원), 현대자동차그룹(300조6250억원)에 이어...",0.9,한화시스템,0.3,Positive,Medium,Short-term,Rumor,"전쟁, 투자",Watch,"이란 전쟁 장기화 가능성과 투자 재원 확보 기대감으로 인한 단기적인 주가 상승 가능성이 있으나, 불확실성이 존재하므로 관망."
272210,한화시스템,외국인 3조 매도에 삼전닉스 급락…코스피 변동성 금융위기때 수준,2026-03-09 23:59,https://www.mk.co.kr/article/11983102,,0.9,한화시스템,-0.2,약간 부정적,Medium,Short-term,Fact,"시장 변동성, 외국인 매도세",Watch,"외국인 매도세와 시장 변동성 확대로 단기적인 영향을 받을 수 있으나, 한화시스템 자체의 펀더멘털에 직접적인 악영향을 미치는 내용은 아님."
272210,한화시스템,"한화, 방산 불기둥에 시총 4대그룹 입성 [코주부]",2026-03-09 23:59,https://www.sedaily.com/article/20016517?ref=naver,"9일 오전 9시8분한화시스템은 전 거래일 대비 7.49% 오른 17만800원에 거래되고 있다. LIG넥스원은 4.44% 오른 87만1000원, 풍산은 3.30% 오른 12만5200원을 기록 중이다. 한화에어로스페이스는 4.19% 오른 154만300원에 거래 중이다. 미국과 이란의 전쟁이 길어질 것으로 우려되면서 방산주는 상승 추세를 지속하고...",0.85,한화시스템,0.3,Positive,Medium,Short-term,Fact,"방산,  지정학적 리스크",Watch,"미국-이란 긴장 고조에 따른 방산주 상승세가 단기적으로 긍정적 영향을 줄 수 있으나, 추이를 지켜볼 필요가 있음"
028670,팬오션,“환율 1550원까지 뛸 수도”…전쟁 장기화 우려 속 수혜주 찾아라,2026-03-05 13:24,https://www.mk.co.kr/article/11979585,"실제로 이날 기준 국내 대표 해운·물류 종목인 HMM(2.93%), 흥아해운(4.82%), 팬오션(3.30%), 현대글로비스(7.11%) 등은 강세를 보이고 있다. 정유주인 GS(5.70%), SK이노베이션(10.18%)과 방산주인 LIG넥스원(23.10%), 한국항공우주(15.... ",0.9,팬오션,0.3,약간 긍정,Medium,Short-term,Fact,"해운, 물류, 환율",Watch,환율 상승 및 전쟁 장기화 우려에 따른 해운/물류주의 단기적 강세 가능성
